epoch,step,train_acc,train_loss,val_acc,val_loss
64,2079,,,0.6583333611488342,1.0901564359664917
64,2079,0.9480000138282776,0.4909389913082123,,
65,2111,,,0.6666666865348816,1.0395935773849487
65,2111,0.9539999961853027,0.5123679637908936,,
66,2143,,,0.675000011920929,1.0890600681304932
66,2143,0.949999988079071,0.4958535134792328,,
67,2175,,,0.6666666865348816,1.0427989959716797
67,2175,0.9580000042915344,0.46912363171577454,,
68,2207,,,0.6499999761581421,1.083866834640503
68,2207,0.9480000138282776,0.47361674904823303,,
69,2239,,,0.6583333611488342,1.0509154796600342
69,2239,0.9399999976158142,0.49902698397636414,,
70,2271,,,0.6499999761581421,1.044623613357544
70,2271,0.9639999866485596,0.44171565771102905,,
71,2303,,,0.6666666865348816,1.0719956159591675
71,2303,0.9559999704360962,0.4581407308578491,,
72,2335,,,0.675000011920929,1.0817087888717651
72,2335,0.9580000042915344,0.44345492124557495,,
73,2367,,,0.6333333253860474,1.0815818309783936
73,2367,0.9599999785423279,0.4354458153247833,,
74,2399,,,0.675000011920929,1.0685001611709595
74,2399,0.9679999947547913,0.41396069526672363,,
75,2431,,,0.6666666865348816,1.0477625131607056
75,2431,0.9660000205039978,0.42493414878845215,,
76,2463,,,0.6583333611488342,1.0607062578201294
76,2463,0.9559999704360962,0.4254230856895447,,
77,2495,,,0.6916666626930237,1.0593808889389038
77,2495,0.9639999866485596,0.4326218068599701,,
78,2527,,,0.6166666746139526,1.0596493482589722
78,2527,0.9700000286102295,0.4158453941345215,,
79,2559,,,0.6583333611488342,1.070393681526184
79,2559,0.9639999866485596,0.43342718482017517,,
80,2591,,,0.6499999761581421,1.085773229598999
80,2591,0.9599999785423279,0.4461889863014221,,
